Investor Name,Fund from Fund Master,Target Customer,Industry Final,Vertical COPY,Investor Type,Website,Preferred Geography (from Fund from Fund Master),Preferred Investment Stage,Preferred Investment Stage COPY,Preferred Investment Type,Min check size,Max Check size,HQ Location,URL (from Fund from Fund Master),Preferred TAM,Impact Investor,% Diversity in Managers/LPs,Age of Fund/Investor Since (Years),Number of investments (Portfolio Size),Return Expectations,Exit Strategy Preference,Network and Support Resources ,Due diligence process,Decision-making timeline,Reputation,Portfolio Success Track Record (% Exits) ,Managers/LPs Turnover,% Portfolio Diversity,Do follow-on rounds?
Gady Nemirovsky,Inspiration Ventures,,,,Venture Capital,www.inspirationvc.com,United States,"Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$0.10,"Burlingame, CA",www.inspirationvc.com,,,,,,,,,,,,,,,
Evan Nisselson,LDV Capital,,,,Venture Capital,www.ldv.co,"Europe, North America, United States","Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$0.05,"New York, NY",www.ldv.co,,,,,,,,,,,,,,,
Robert Helmedag,Rex Health Ventures,,,,Corporate Venture Capital,www.rexhealthventures.com,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$0.20,"Raleigh, NC",www.rexhealthventures.com,,,,,,,,,,,,,,,
Bill Reichert,Garage Technology Ventures,,,,Venture Capital,www.garagetechnologyventures.com,"California, Midwest, Northwest, Southwest","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.50,$3.00,,www.garagetechnologyventures.com,,,,,,,,,,,,,,,
Daniel R. Vlock,Alopexx Enterprises,,,,Venture Capital,www.alopexx.com,,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$1.00,$20.00,"Concord, MA",www.alopexx.com,,,,,,,,,,,,,,,
Martin Bleijendaal,Nedamco Capital,,,,Growth/Expansion,www.nedamcocapital.com,"Europe, United States",,,"Convertible Debt,SAFE,Debt",$3.28,$10.93,"Bloemendaal, Netherlands",www.nedamcocapital.com,,,,,,,,,,,,,,,
Michael Oporto,Patricia Industries,,,,PE/Buyout,www.patriciaindustries.com,"North America, Northern Europe","Buy-out,Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$20.00,$70.00,"Stockholm, Sweden",www.patriciaindustries.com,,,,,,,,,,,,,,,
Kevin Landis,Firsthand Capital Management,,,,Asset Manager,www.firsthandcapital.com,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$1.00,"San Jose, CA",www.firsthandcapital.com,,,,,,,,,,,,,,,
Saurabh Sharma,Jump Capital,,,,Venture Capital,www.jumpcap.com,United States,"Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$1.00,$10.00,,www.jumpcap.com,,,,,,,,,,,,,,,
Ruthanne Monaghan,Fountain Healthcare Partners,,,,Venture Capital,www.fh-partners.com,"Europe, United States","Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$1.13,$1.70,"Dublin, Ireland",www.fh-partners.com,,,,,,,,,,,,,,,
