Investor Name,Fund from Fund Master,Target Customer,Industry Final,Vertical COPY,Investor Type,Website,Preferred Geography (from Fund from Fund Master),Preferred Investment Stage,Preferred Investment Stage COPY,Preferred Investment Type,Min check size,Max Check size,HQ Location,URL (from Fund from Fund Master),Preferred TAM,Impact Investor,% Diversity in Managers/LPs,Age of Fund/Investor Since (Years),Number of investments (Portfolio Size),Return Expectations,Exit Strategy Preference,Network and Support Resources ,Due diligence process,Decision-making timeline,Reputation,Portfolio Success Track Record (% Exits) ,Managers/LPs Turnover,% Portfolio Diversity,Do follow-on rounds?
Richard Erdman,Tech Coast Angels,"B2B,B2C","Software and Information Services,Electronics and Computer Hardware","3D Printing,AdTech,AgTech,Autonomous cars,Beauty & Wellness,Cannabis,Climate Tech,CloudTech & DevOps,Construction Technology,Cryptocurrency/Blockchain,Cybersecurity,Digital Health,Ecommerce???,EdTech,FemTech,FinTech,Gaming,HealthTech,HRTech,Industrials,Infrastructure,InsurTech,Internet of Things,LegalTech,Life Sciences,MarketingTech,Mobile,MobilityTech,Nanotechnology,Pet Technology,Real Estate Technology,Restaurant Technology,Robotics and Drones,Space Technology,SportsTech,Supply Chain Tech,Virtual/Augmented Reality,Marketplace,enterprise??",Angel Group,www.techcoastangels.com,United States,"Angel Round,Early Stage,Late Stage,Seed","SEED,Pre-SEED,Series A,Series B,Series D,Non-Profit Fundraising,Bridge Round,Angel ,Friends and Family","Convertible Debt,SAFE,Debt",$0.05,$0.10,"Irvine, CA",www.techcoastangels.com,Under $5 Billion,No,10%,1.0,60,Over 5X and under 10X,"Revenue driven returns,Acquisition",On Demand,Heavily Involved ,Days,4,30%,Low,10%,Case by case
Frank M. Creer,Zone Ventures,B2B,Software and Information Services,"Industrials,Internet of Things,CloudTech & DevOps",Venture Capital,www.zonevc.com,United States,"Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$0.25,"Menlo Park, CA",www.zonevc.com,Under $5 Billion,No,25%,20.0,20,10X and above,IPO,Heavily Supportive,Heavily Involved ,Months,4,2%,High,5%,Yes
Anthony Marlowe,Iowa City Capital Partners,"B2B,B2C",Software and Information Services,,Family Office,www.iowacitycapitalpartners.com,United States,"Acquisition Financing,Late Stage",,"Convertible Debt,SAFE,Debt",$0.00,$2.50,"Iowa City, IA",www.iowacitycapitalpartners.com,$5B to $10B,No,10%,10.0,100,Over 5X and under 10X,Acquisition,Weak,Outside Reliance,Weeks,4,10%,Medium,10%,No
Oren Zeev,Zeev Ventures,B2C,Media and Content,"FinTech,InsurTech",Venture Capital,www.zeevventures.com,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$2.00,"Palo Alto, CA",www.zeevventures.com,Over $10 Billion,No,5%,2.0,25,10X and above,"Liquidation,IPO",Weak,Heavily Involved ,Days,4,10%,High,30%,Case by case
Stephen A. Baker,Fort Washington Capital Partners,"B2B,B2C",Educational and Training Services,Industrials,Fund of Funds,,"Asia, Europe, United States","Buy-out,Early Stage,Late Stage,PE Growth/Expansion,Secondary Transaction - Private",,"Convertible Debt,SAFE,Debt",$0.50,$2.00,"Cincinnati, OH",,Over $10 Billion,No,3%,5.5,3,Over 5X and under 10X,"Acquisition,IPO",On Demand,Via Due Diligence Committee,Months,5,5%,Medium,20%,Case by case
Jeffrey Bede,ORIX Growth Capital,"B2B,B2C",Food and Beverage,"Artifical Intelligence & Machine Learning,Big Data",Corporate Venture Capital,,"Canada, Germany, Netherlands, United Kingdom, United States","Acquisition Financing,Early Stage,Late Stage,Mezzanine,PE Growth/Expansion,Secondary Transaction - Private",,"Debt,Debt Refinancing,Loan",$0.50,$5.00,"Dallas, TX",,$5B to $10B,No,20%,10.0,800,10X and above,"Revenue driven returns,Acquisition",Heavily Supportive,Accept Others DD Reports,Weeks,4,3%,High,5%,Yes
Schuyler Lance,SustainVC,B2B,Construction and Civil Engineering,"3D Printing,AgTech,Big Data",Impact Investing,www.sustainvc.com,North America,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$0.50,"Boston, MA",www.sustainvc.com,$5B to $10B,Yes,100%,7.0,30,2X - 5X,Acquisition,Weak,Outside Reliance,Days,2,20%,Low,20%,Case by case
Mark P. Gorenberg,Zetta Venture Partners,B2B,Financial Institutions and Services,"Artifical Intelligence & Machine Learning,Big Data",Venture Capital,www.zettavp.com,"Europe, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$0.30,"San Francisco, CA",www.zettavp.com,Over $10 Billion,No,3%,25.0,5,2X - 5X,Revenue driven returns,On Demand,Via Due Diligence Committee,Days,5,4%,Medium,40%,Yes
Carter Weiss,Silas Capital,"B2B,B2C","CPG,Fashion,Software and Information Services,Food and Beverage,Travel & Leisure,Electronics and Computer Hardware","Cannabis,Beauty & Wellness,Ecommerce???,Cybersecurity,Manufacturing,SportsTech",Growth/Expansion,www.silascapital.com,United States,"Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.50,$1.50,"New York, NY",www.silascapital.com,,,,,,,,,,,,,,,
Prasad Ramaswamy,Zephyr Management,"B2B,B2C","CPG,Machinery & industrial goods,Agriculture & Forestry","Beauty & Wellness,Life Sciences,Manufacturing",PE/Buyout,www.zmlp.com,"Africa, Asia, Central America, Middle East, United States","Buy-out,Early Stage,Late Stage,PE Growth/Expansion",,"Convertible Debt,SAFE,Debt",$0.50,$2.00,"New York, NY",www.zmlp.com,$5B to $10B,No,5%,5.0,500,10X and above,"Liquidation,Acquisition",On Demand,Accept Others DD Reports,Months,5,5%,Low,50%,Case by case
Shervin Kordary Pishevar,Shervin Pishevar,B2B,"Healthcare,Software and Information Services",,Angel (individual),www.pishevar.com,"408, 650","Angel Round,Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.00,$0.03,"San Francisco, CA",www.pishevar.com,$5B to $10B,No,50%,3.0,70,Over 5X and under 10X,IPO,Heavily Supportive,Heavily Involved ,Weeks,3,10%,High,30%,No
Marissa Campise,Rucker Park Capital,B2B,"Financial Institutions and Services,Healthcare,Transportation","FinTech,Beauty & Wellness",Venture Capital,www.rpvc.com,North America,"Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.05,$0.20,"New York, NY",www.rpvc.com,,,,,,,,,,,,,,,
Doug Renert,Tandem Capital,B2B,"Electronics and Computer Hardware,Software and Information Services",,Venture Capital,www.tandemcap.com,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.05,$0.20,"Menlo Park, CA",www.tandemcap.com,,,,,,,,,,,,,,,
Alejandro Guerrero,Act One Ventures,B2B,"Financial Institutions and Services,Software and Information Services","Digital Health,FinTech,HealthTech,Life Sciences,Mobile",Venture Capital,www.actoneventures.com,"Bay Area, New York, Southern California","Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$0.07,"Los Angeles, CA",www.actoneventures.com,,,,,,,,,,,,,,,
Sean Casey,Omphalos Venture Partners,"B2B,B2C","Software and Information Services,Healthcare","Artifical Intelligence & Machine Learning,Digital Health,Internet of Things,Manufacturing,Nanotechnology",Venture Capital,www.omphalosventures.net,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$0.10,"Shakopee, MN",www.omphalosventures.net,,,,,,,,,,,,,,,
Andres Barreto,Firstrock Capital,"B2B,B2C",Software and Information Services,,Venture Capital,www.firstrock.vc,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.50,"New York, NY",www.firstrock.vc,,,,,,,,,,,,,,,
Robert Murray,Terranet Ventures,B2B,Financial Institutions and Services,"3D Printing,Artifical Intelligence & Machine Learning,Virtual/Augmented Reality,Autonomous cars,Ecommerce???,Cryptocurrency/Blockchain",Venture Capital,terranetventures.com,"Africa, Americas, Asia, Canada, Europe, Middle East, United States","Angel Round,Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.00,$0.05,"Philadelphia, PA",terranetventures.com,,,,,,,,,,,,,,,
Paul Bricault,Amplify.LA,"B2C,B2B","Healthcare,CPG,Software and Information Services","Mobile,Manufacturing,Ecommerce???,Gaming",Venture Capital,www.amplify.la,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.03,"Los Angeles, CA",www.amplify.la,,,,,,,,,,,,,,,
William Bo S. Peabody,Village Ventures,B2B,Software and Information Services,,Venture Capital,www.villageventures.com,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.50,"Williamstown, MA",www.villageventures.com,,Yes,50%,2.3,5,Over 5X and under 10X,Revenue driven returns,Weak,Outside Reliance,Weeks,3,10%,Low,67%,Case by case
Vinod Jose,Konglo Ventures,B2B,"Financial Institutions and Services,Construction and Civil Engineering","Artifical Intelligence & Machine Learning,FinTech,Big Data,Construction Technology,EdTech",Venture Capital,kongloventures.com,"Europe, India, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.05,"Cochin, India",kongloventures.com,,,,,,,,,,,,,,,
Carlos Ochoa,AI8 Ventures,"B2B,B2C","Software and Information Services,Electronics and Computer Hardware","AdTech,Artifical Intelligence & Machine Learning,FinTech,Big Data,Cybersecurity,Digital Health,SportsTech",Venture Capital,www.ai8ventures.com,"Argentina, Bolivia, Brazil, Chile, Colombia, Costa Rica, Cuba, Dominican Republic, Ecuador, Guatemala, Haiti, Honduras, Mexico, Nicaragua, Panama, Paraguay, Peru, Sint Maarten, United States, Uruguay, Venezuela","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$0.05,"San Francisco, CA",www.ai8ventures.com,,,,,,,,,,,,,,,
Daniel B. Wolfe,180 Degree Capital (NAS: TURN),B2B,"Electronics and Computer Hardware,Communications & Networking","Digital Health,Life Sciences,HealthTech",Venture Capital,www.180degreecapital.com,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.05,$0.20,"Montclair, NJ",www.180degreecapital.com,,,,,,,,,,,,,,,
Ronald Wayne Burkle,Inevitable Ventures,B2B,"Healthcare,Software and Information Services,Biotech and Pharmaceuticals ","AgTech,Ecommerce???,HealthTech,Life Sciences,Mobile",Venture Capital,www.inevitablevc.com,"England, Germany, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.02,$1.00,"Los Angeles, CA",www.inevitablevc.com,,,,,,,,,,,,,,,
Lok Lee,Tuesday Capital,B2B,"Communications & Networking,Software and Information Services",Mobile,Venture Capital,www.tuesday.vc,"Europe, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.00,$0.05,"Burlingame, CA",www.tuesday.vc,,Yes,,,,,,,,,,,,,
Mark Friday,Cathexis Ventures,B2B,Software and Information Services,,Corporate Venture Capital,www.cathexisventures.com,,"Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.25,$1.00,"Houston, TX",www.cathexisventures.com,,,,,,,,,,,,,,,
Paige Craig,Arena Ventures,"B2B,B2C",Educational and Training Services,"FinTech,Ecommerce???,EdTech,Mobile",Venture Capital,www.arenavc.com,"California, New York","Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.05,$5.00,"Los Angeles, CA",www.arenavc.com,,,,,,,,,,,,,,,
Justine Lee,25madison,"B2B,B2C","CPG,Financial Institutions and Services","Artifical Intelligence & Machine Learning,FinTech,Climate Tech,Construction Technology,Cryptocurrency/Blockchain,FemTech,Digital Health,Foodtech",Accelerator/Incubator,www.25madison.com,"Canada, Israel, United States","Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$0.30,"New York, NY",www.25madison.com,,,,,,,,,,,,,,,
Sara Brand,True Wealth Ventures,B2C,Healthcare,"Climate Tech,Digital Health,FemTech,Foodtech,HealthTech,Beauty & Wellness",Venture Capital,www.truewealthvc.com,"Arkansas, DC Metro, Great Lakes, Louisiana, Mid Atlantic, Midwest, Mountain, New England, New York Metro, North America, Northeast, Northwest, Oklahoma, Southeast, Southern California, Southwest, US Territories, West Coast","Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.05,$0.20,"Austin, TX",www.truewealthvc.com,,,,,,,,,,,,,,,
Tyler Steinke,Runway Innovation Hub,B2B,"Financial Institutions and Services,Healthcare,Energy and Climate,Software and Information Services","3D Printing,AdTech,AgTech,Virtual/Augmented Reality,Autonomous cars",Accelerator/Incubator,www.runway.is,"Brazil, East Asia, Europe, Saudi Arabia, Southeast Asia, United States","Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$1.00,"San Francisco, CA",www.runway.is,,,,,,,,,,,,,,,
Mitchell David Kapor,Mitchell Kapor,B2B,"Software and Information Services,Media and Content,Communications & Networking",,Angel (individual),www.kapor.com,"408, 650, California","Angel Round,Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.03,"Oakland, CA",www.kapor.com,,,,,,,,,,,,,,,
Claudio Giuliano,Innogest Capital,"B2C,B2B","CPG,Financial Institutions and Services","Ecommerce???,HealthTech,Life Sciences",Venture Capital,www.innogestcapital.com,"Africa, Americas, Asia, Canada, Europe, Middle East, Oceania, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.82,"Turin, Italy",www.innogestcapital.com,,,,,,,,,,,,,,,
Elizabeth Orgel,Persephone Venture Partners,"B2B,B2C","Software and Information Services,Electronics and Computer Hardware",,Venture Capital,www.persephoneventurepartners.com,,"Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.05,$0.50,"Lincoln, MA",www.persephoneventurepartners.com,,,,,,,,,,,,,,,
Ben Jen,Ben Jen Holdings,B2B,"Software and Information Services,Media and Content,Communications & Networking,Electronics and Computer Hardware",,Venture Capital,www.benjenholdings.com,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.00,$0.10,"New York, NY",www.benjenholdings.com,,,,,,,,,,,,,,,
Patrick Ryan,Leawood Venture Capital,B2B,"Software and Information Services,Electronics and Computer Hardware","Artifical Intelligence & Machine Learning,CloudTech & DevOps,Cybersecurity,Mobile",Venture Capital,www.leawoodvc.com,United States,"Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.05,$0.20,"Leawood, KS",www.leawoodvc.com,,,,,,,,,,,,,,,
Ryan M. Feit,SeedInvest,"B2C,B2B","Fashion,CPG,Construction and Civil Engineering,Communications & Networking,Real Estate","Robotics and Drones,Real Estate Technology",Venture Capital,www.seedinvest.com,United States,"Angel Round,Early Stage,Late Stage,Seed",,Crowdfunding,$0.00,$2.00,"New York, NY",www.seedinvest.com,,,,,,,,,,,,,,,
Ross Kimbel,Silicon Road,B2C,"Food and Beverage,CPG","Ecommerce???,Foodtech",Venture Capital,siliconroad.vc/us,"India, United States","Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.20,"Atlanta, GA",siliconroad.vc/us,,,,,,,,,,,,,,,
Bradley Zions,Structure Fund,"B2B,B2C","Media and Content,Software and Information Services,Financial Institutions and Services","AdTech,CloudTech & DevOps,Ecommerce???,EdTech,FinTech,Foodtech,HealthTech",Venture Capital,www.structurefund.com,United States,"Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.03,"Beverly Hills, CA",www.structurefund.com,,,,,,,,,,,,,,,
Chris Redlitz,Transmedia Capital,"B2B,B2C","Media and Content,Software and Information Services","AdTech,Ecommerce???,Mobile",Venture Capital,www.transmediacapital.com,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$0.05,"San Francisco, CA",www.transmediacapital.com,,,,,,,,,,,,,,,
Amit Sanghvi,Northzone Ventures,B2B,"Construction and Civil Engineering,Electronics and Computer Hardware","Artifical Intelligence & Machine Learning,Ecommerce???,EdTech,FinTech,Foodtech,Gaming,Infrastructure",Venture Capital,www.northzone.com,"Europe, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.12,$2.94,"London, United Kingdom",www.northzone.com,,,,,,,,,,,,,,,
Sophie Endl,Active Impact Investments,"B2B,B2C","Construction and Civil Engineering,Energy and Climate",Climate Tech,Venture Capital,www.activeimpactinvestments.com,"Canada, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.05,$0.13,"Vancouver, Canada",www.activeimpactinvestments.com,,,,,,,,,,,,,,,
Maarten Goossens,Anterra Capital,B2B,"Agriculture & Forestry,Energy and Climate,Food and Beverage,Healthcare","AgTech,Climate Tech,Digital Health,HealthTech,Beauty & Wellness",Venture Capital,www.anterracapital.com,"Asia, Canada, Europe, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$2.00,"Amsterdam, Netherlands",www.anterracapital.com,,,,,,,,,,,,,,,
Alan Howard,TeleSoft Partners,B2B,"Communications & Networking,Media and Content,Electronics and Computer Hardware,Software and Information Services",,Venture Capital,www.telesoftvc.com,"Europe, India, Israel, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$1.50,"San Francisco, CA",www.telesoftvc.com,,,,,,,,,,,,,,,
Yun-Fang Juan,Brighter Capital,"B2B,B2C","Electronics and Computer Hardware,Software and Information Services,Fashion,CPG","Artifical Intelligence & Machine Learning,CloudTech & DevOps",Venture Capital,www.brightercapital.com,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.00,$0.01,"Cupertino, CA",www.brightercapital.com,,,,,,,,,,,,,,,
Jon W. Bayless,Sevin Rosen Funds,"B2B,B2C","Communications & Networking,Electronics and Computer Hardware,Software and Information Services","Digital Health,HealthTech,MedTech",Venture Capital,www.srfundstest.com,United States,"Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$2.00,"Dallas, TX",www.srfundstest.com,,,,,,,,,,,,,,,
Thanasis Delistathis,NAV.VC,B2C,"Fashion,CPG,Software and Information Services","Big Data,Ecommerce???,FinTech",Venture Capital,www.nav.vc,United States,"Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$0.30,"Reston, VA",www.nav.vc,,,,,,,,,,,,,,,
Jay Reinemann,Propel Venture Partners,"B2B,B2C","Insurance,Software and Information Services,Electronics and Computer Hardware",FinTech,Venture Capital,www.propel.vc,"Brazil, Canada, Germany, Mexico, United Kingdom, United States","Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$0.50,"San Carlos, CA",www.propel.vc,,,,,,,,,,,,,,,
Neeraj Berry,Tet Ventures,"B2B,B2C","Educational and Training Services,Food and Beverage","EdTech,Foodtech",Venture Capital,www.tet.vc,"Americas, Europe, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.03,"Berlin, Germany",www.tet.vc,,,,,,,,,,,,,,,
Kate Danaher,S2G Ventures,"B2B,B2C","CPG,Agriculture & Forestry,Fashion","AgTech,Big Data,Construction Technology,Manufacturing",Venture Capital,www.s2gventures.com,"Canada, Europe, United States","Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.05,$3.00,"Chicago, IL",www.s2gventures.com,,,,,,,,,,,,,,,
Pankaj SHANKARLAL Jethwani,W Health Ventures,B2B,"Healthcare,Medical Devices & Equipment","Digital Health,HealthTech,MedTech",Venture Capital,www.whealthventures.com,"India, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.05,$1.00,"Pittsburgh, PA",www.whealthventures.com,Under $5 Billion,Yes,10%,10.0,109,Over 5X and under 10X,Revenue driven returns,On Demand,Heavily Involved ,Days,5,14%,High,38%,Yes
Matthew Lee,Progression Fund,B2B,"Healthcare,Educational and Training Services,Medical Devices & Equipment,Software and Information Services","Ecommerce???,EdTech,FinTech,Gaming,MedTech",Venture Capital,www.progression.fund,,"Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.15,$0.25,"Los Angeles, CA",www.progression.fund,,,,,,,,,,,,,,,
Wally Wang,Scale Asia Ventures,"B2B,B2C","Healthcare,Financial Institutions and Services,Construction and Civil Engineering,Educational and Training Services","Digital Health,HealthTech,Artifical Intelligence & Machine Learning",Venture Capital,www.sav.vc,"Asia, Canada, Europe, Israel, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.00,$0.20,"Menlo Park, CA",www.sav.vc,,,,,,,,,,,,,,,
Çiğdem Toraman,StartersHub,,,,Venture Capital,www.startershub.com,"Europe, Middle East, Northern Africa","Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.00,$0.03,"Istanbul, Turkey",www.startershub.com,,,,,,,,,,,,,,,
Hongkai He,Taihill Venture,,,,Venture Capital,taihill.vc,"China, Hong Kong, United States","Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.05,"Boston, MA",taihill.vc,,,,,,,,,,,,,,,
Kay Enjoji,TEL Venture Capital,,,,Corporate Venture Capital,https://www.tel.com/rd/telvc/index.html,"Asia, United Kingdom, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.02,$0.50,"Fremont, CA",,,,,,,,,,,,,,,,
Nobuhiro Seki,Monozukuri Ventures,,,,Venture Capital,monozukuri.vc,"Japan, United States","Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.10,"Kyoto City, Japan",monozukuri.vc,,,,,,,,,,,,,,,
Karthik Nageswaran,Kalaari Capital,,,,Venture Capital,www.kalaari.com,"India, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$0.50,"Bangalore, India",www.kalaari.com,,,,,,,,,,,,,,,
Bruce R. Tiedemann,Boston Millennia Partners,,,,Growth/Expansion,www.bostonmillenniapartners.com,United States,"Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$1.50,"Boston, MA",www.bostonmillenniapartners.com,,,,,,,,,,,,,,,
Tripp Baird,The Builders Fund,,,,Growth/Expansion,www.thebuildersfund.com,United States,"Buy-out,Early Stage,Late Stage,PE Growth/Expansion",,"Convertible Debt,SAFE,Debt",$0.30,$1.50,"San Francisco, CA",www.thebuildersfund.com,,,,,,,,,,,,,,,
Will Weisman,KittyHawk Ventures,,,,Venture Capital,www.kittyhawk.vc,,"Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.25,$5.00,"Santa Monica, CA",www.kittyhawk.vc,,,,,,,,,,,,,,,
Gil Beyda,Genacast Ventures,,,,Venture Capital,www.genacast.com,Northeast,"Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$0.20,"New York, NY",www.genacast.com,,,,,,,,,,,,,,,
Karim Nurani,BayAngels,,,,Angel Group,www.bayangels.com,California,"Angel Round,Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.00,$0.02,"San Francisco, CA",www.bayangels.com,,,,,,,,,,,,,,,
Victor Gutwein,M25,,,,Venture Capital,www.m25vc.com,"Great Lakes, Kentucky, Midwest, Pennsylvania","Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$0.05,"Chicago, IL",www.m25vc.com,,,,,,,,,,,,,,,
Theodore B. Smith,Canrock Ventures,,,,Venture Capital,www.canrockventures.com,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.05,$0.15,"Oyster Bay, NY",www.canrockventures.com,,,,,,,,,,,,,,,
Hollis McGuire,Northeast Angels Investment Group,,,,Angel Group,www.northeastangels.com,Northeast,"Angel Round,Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$0.10,"Nashua, NH",www.northeastangels.com,,,,,,,,,,,,,,,
Michael Y. Mashaal,HealthCor Partners Management,,,,Growth/Expansion,www.healthcorpartners.com,United States,"Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$1.00,$4.00,"New York, NY",www.healthcorpartners.com,,,,,,,,,,,,,,,
James H. Simmons,Asland Capital Partners,,,,Real Estate,www.aslandcap.com,United States,"Angel Round,Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.03,"New York, NY",www.aslandcap.com,,,,,,,,,,,,,,,
Douglass Given,Health2047 Capital Partners,,,,Venture Capital,www.health2047capital.com,United States,"Joint Venture,Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.50,$3.00,"Menlo Park, CA",www.health2047capital.com,,,,,,,,,,,,,,,
Warren Rogers,Downing Ventures,,,,Venture Capital,www.downingventures.com,"Asia, Middle East, United Kingdom, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.14,$1.37,"London, United Kingdom",www.downingventures.com,,,,,,,,,,,,,,,
Sonja Markova,Band of Angels,,,,Angel Group,www.bandangels.com,California,"Angel Round,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$0.08,"San Francisco, CA",www.bandangels.com,,,,,,,,,,,,,,,
Chuck Templeton,S2G Ventures,,,,Venture Capital,www.s2gventures.com,"Canada, Europe, United States","Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.05,$3.00,"Chicago, IL",www.s2gventures.com,,,,,,,,,,,,,,,
Janelle Goulard,Pangaea Ventures,,,,Venture Capital,www.pangaeaventures.com,"Canada, United States","Early Stage,Late Stage",,"Convertible Debt,SAFE,Debt",$0.40,$0.50,"Vancouver, Canada",www.pangaeaventures.com,,,,,,,,,,,,,,,
Guy Filippelli,Squadra Ventures,,,,Venture Capital,squadra.vc,,"Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.50,$1.50,"Baltimore, MD",squadra.vc,,,,,,,,,,,,,,,
Arjan Schütte,Core Innovation Capital,,,,Venture Capital,www.corevc.com,United States,"Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$1.00,"Los Angeles, CA",www.corevc.com,,,,,,,,,,,,,,,
Minsoo Chi,Spider Capital,,,,Venture Capital,www.spidercapital.com,"Canada, Israel, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$0.15,"Beverly Hills, CA",www.spidercapital.com,,,,,,,,,,,,,,,
Dovi Frances,Group 11,,,,Venture Capital,group11.vc,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$0.50,"Beverly Hills, CA",group11.vc,,,,,,,,,,,,,,,
Merijn Klaassen,Life Sciences Partners,,,,Venture Capital,www.lspvc.com,"United States, Western Europe","Early Stage,Late Stage,Secondary Market,Seed",,"Convertible Debt,SAFE,Debt",$0.24,$5.88,"Amsterdam, Netherlands",www.lspvc.com,,,,,,,,,,,,,,,
Jacqueline Bennett,SJF Ventures,,,,Venture Capital,www.sjfventures.com,"North America, United States","Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$1.00,"Durham, NC",www.sjfventures.com,,,,,,,,,,,,,,,
Kenneth Benson Sawyer,Saints Capital,,,,Secondary Buyer,www.saintscapital.com,"Asia, Europe, United States",,,"Convertible Debt,SAFE,Debt",$0.50,$250.00,"Denver, CO",www.saintscapital.com,,,,,,,,,,,,,,,
Chris Young,Revel Partners,,,,Venture Capital,www.revelpartners.com,"United States, Western Europe","Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$0.15,"New York, NY",www.revelpartners.com,,,,,,,,,,,,,,,
Arijana Rageth Walcott,DART Labs,,,,Accelerator/Incubator,www.dartlabs.io,"Europe, United States","Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.06,"Zuerich, Switzerland",www.dartlabs.io,,,,,,,,,,,,,,,
